replica,escenario,origen,destino,base,cerrado
2,base,z15,z15,257.73274767890734,257.73274767890734
2,base,z15,z16,247.86881933060022,247.86881933060022
2,base,z16,z10,955.1536471359302,955.1536471359302
2,base,z16,z15,298.04091847870603,298.04091847870603
2,base,z16,z16,324.8642303179379,324.8642303179379
2,vista_hermosa,z10,z10,306.5871118886582,306.5871932344263
2,vista_hermosa,z10,z15,787.4040933008314,1399.2854653901097
2,vista_hermosa,z10,z16,825.7239298182401,1273.2073598419217
2,vista_hermosa,z15,z10,865.8612349434137,1214.215732272378
2,vista_hermosa,z15,z15,257.73274767890734,257.90271426320095
2,vista_hermosa,z15,z16,247.86881933060022,247.88842495681718
2,vista_hermosa,z16,z10,955.1536471359302,1213.0742666100336
2,vista_hermosa,z16,z15,298.04091847870603,298.5123399351826
2,vista_hermosa,z16,z16,324.8642303179379,326.13018997169365
2,reforma,z10,z10,306.5871118886582,305.1185822075543
2,reforma,z10,z15,787.4040933008314,770.6365929768001
2,reforma,z10,z16,825.7239298182401,822.0321153552179
2,reforma,z15,z10,865.8612349434137,861.3932563087915
2,reforma,z15,z15,257.73274767890734,257.7327877512862
2,reforma,z15,z16,247.86881933060022,247.86881933060022
2,reforma,z16,z10,955.1536471359302,942.5833179525368
2,reforma,z16,z15,298.04091847870603,298.0409109119317
2,reforma,z16,z16,324.8642303179379,324.86422121312455
3,base,z10,z10,293.03584740663337,293.03584740663337
3,base,z10,z15,788.9716545377958,788.9716545377958
3,base,z10,z16,816.4190146780861,816.4190146780861
3,base,z15,z10,888.7422551948798,888.7422551948798
3,base,z15,z15,274.6314410009612,274.6314410009612
3,base,z15,z16,240.6301717267093,240.6301717267093
3,base,z16,z10,961.5346076839836,961.5346076839836
3,base,z16,z15,299.2674291754282,299.2674291754282
3,base,z16,z16,278.00626434551486,278.00626434551486
3,vista_hermosa,z10,z10,293.03584740663337,293.03584698894747
3,vista_hermosa,z10,z15,788.9716545377958,1386.8926331880268
3,vista_hermosa,z10,z16,816.4190146780861,1299.656758297443
3,vista_hermosa,z15,z10,888.7422551948798,1208.6561359031684
3,vista_hermosa,z15,z15,274.6314410009612,274.9461997189499
3,vista_hermosa,z15,z16,240.6301717267093,240.7200836318791
3,vista_hermosa,z16,z10,961.5346076839836,1227.5726140197644
3,vista_hermosa,z16,z15,299.2674291754282,300.3963412949229
3,vista_hermosa,z16,z16,278.00626434551486,279.4701898115042
3,reforma,z10,z10,293.03584740663337,293.6064275851772
3,reforma,z10,z15,788.9716545377958,771.6707864591065
3,reforma,z10,z16,816.4190146780861,809.6834671278532
3,reforma,z15,z10,888.7422551948798,870.4173767356183
3,reforma,z15,z15,274.6314410009612,274.6314410009612
3,reforma,z15,z16,240.6301717267093,240.6301716026834
3,reforma,z16,z10,961.5346076839836,937.4971543125682
3,reforma,z16,z15,299.2674291754282,299.26741075476446
3,reforma,z16,z16,278.00626434551486,278.00626420314916
4,base,z10,z10,302.82795122102016,302.82795122102016
4,base,z10,z15,784.4004878719286,784.4004878719286
4,base,z10,z16,831.4591350509309,831.4591350509309
4,base,z15,z10,882.2829008911508,882.2829008911508
4,base,z15,z15,274.47343233646893,274.47343233646893
4,base,z15,z16,245.81839691630933,245.81839691630933
4,base,z16,z10,955.1681425301604,955.1681425301604
4,base,z16,z15,297.0072759572542,297.0072759572542
4,base,z16,z16,301.29465420744344,301.29465420744344
4,vista_hermosa,z10,z10,302.82795122102016,302.8258105625246
4,vista_hermosa,z10,z15,784.4004878719286,1381.4488119395987
4,vista_hermosa,z10,z16,831.4591350509309,1311.7075242904075
4,vista_hermosa,z15,z10,882.2829008911508,1227.9348860748778
4,vista_hermosa,z15,z15,274.47343233646893,276.56130953830854
4,vista_hermosa,z15,z16,245.81839691630933,245.96861511380314
4,vista_hermosa,z16,z10,955.1681425301604,1210.2814402640868
4,vista_hermosa,z16,z15,297.0072759572542,299.3351270868708
4,vista_hermosa,z16,z16,301.29465420744344,301.5052684442577
4,reforma,z10,z10,302.82795122102016,302.76440178603116
4,reforma,z10,z15,784.4004878719286,777.5029444180774
4,reforma,z10,z16,831.4591350509309,825.0281928744268
4,reforma,z15,z10,882.2829008911508,868.7177728904555
4,reforma,z15,z15,274.47343233646893,274.4734321116246
4,reforma,z15,z16,245.81839691630933,245.81839691630933
